Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + ACR2-CTZ,CTZ-1,After,4,1920,0.192,192.0,20.538330078125
L + ACR2-CTZ,CTZ-1,After,4,2304,0.23040000000000002,230.40000000000003,19.683837890625
L + ACR2-CTZ,CTZ-1,After,4,2701,0.2701,270.1,19.34814453125
L + ACR2-CTZ,CTZ-1,After,4,3142,0.31420000000000003,314.20000000000005,18.12744140625
L + ACR2-CTZ,CTZ-1,After,4,3692,0.36920000000000003,369.20000000000005,18.12744140625
L + ACR2-CTZ,CTZ-1,After,4,4629,0.46290000000000003,462.90000000000003,19.59228515625
L + ACR2-CTZ,CTZ-1,After,5,1450,0.14500000000000002,145.00000000000003,19.683837890625
L + ACR2-CTZ,CTZ-1,After,5,1622,0.1622,162.20000000000002,18.49365234375
L + ACR2-CTZ,CTZ-1,After,5,1791,0.1791,179.10000000000002,19.500732421875
L + ACR2-CTZ,CTZ-1,After,5,1972,0.19720000000000001,197.20000000000002,18.4326171875
L + ACR2-CTZ,CTZ-1,After,5,2162,0.2162,216.20000000000002,18.24951171875
L + ACR2-CTZ,CTZ-1,After,5,2350,0.23500000000000001,235.00000000000003,18.096923828125
L + ACR2-CTZ,CTZ-1,After,5,2557,0.25570000000000004,255.70000000000005,17.791748046875
L + ACR2-CTZ,CTZ-1,After,5,2766,0.2766,276.6,16.54052734375
L + ACR2-CTZ,CTZ-1,After,5,2985,0.2985,298.5,16.937255859375
L + ACR2-CTZ,CTZ-1,After,5,3233,0.32330000000000003,323.3,17.364501953125
L + ACR2-CTZ,CTZ-1,After,5,3462,0.3462,346.2,17.15087890625
L + ACR2-CTZ,CTZ-1,After,5,3683,0.3683,368.3,17.730712890625
L + ACR2-CTZ,CTZ-1,After,5,3934,0.3934,393.40000000000003,15.533447265625
L + ACR2-CTZ,CTZ-1,After,5,4191,0.41910000000000003,419.1,17.303466796875
L + ACR2-CTZ,CTZ-1,After,5,4512,0.45120000000000005,451.20000000000005,16.937255859375
L + ACR2-CTZ,CTZ-1,After,5,4798,0.4798,479.8,16.90673828125
L + ACR2-CTZ,CTZ-1,After,5,5091,0.5091,509.1,16.632080078125
L + ACR2-CTZ,CTZ-1,After,5,5408,0.5408000000000001,540.8000000000001,15.960693359375
L + ACR2-CTZ,CTZ-1,After,5,5693,0.5693,569.3000000000001,16.998291015625
L + ACR2-CTZ,CTZ-1,After,5,6008,0.6008,600.8,16.876220703125
