Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + ACR2-CTZ,CTZ-1,After,0,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,1,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,2,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,3,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,4,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",6,"[1920, 2304, 2701, 3142, 3692, 4629]","[0.192, 0.23040000000000002, 0.2701, 0.31420000000000003, 0.36920000000000003, 0.46290000000000003]"
L + ACR2-CTZ,CTZ-1,After,5,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",35,"[1450, 1622, 1791, 1972, 2162, 2350, 2557, 2766, 2985, 3233, 3462, 3683, 3934, 4191, 4512, 4798, 5091, 5408, 5693, 6008, 6304, 6612, 6916, 7189, 7614, 7940, 8276, 8611, 8930, 9208, 9546, 9847, 10214, 10530, 10926]","[0.14500000000000002, 0.1622, 0.1791, 0.19720000000000001, 0.2162, 0.23500000000000001, 0.25570000000000004, 0.2766, 0.2985, 0.32330000000000003, 0.3462, 0.3683, 0.3934, 0.41910000000000003, 0.45120000000000005, 0.4798, 0.5091, 0.5408000000000001, 0.5693, 0.6008, 0.6304000000000001, 0.6612, 0.6916, 0.7189, 0.7614000000000001, 0.794, 0.8276, 0.8611000000000001, 0.893, 0.9208000000000001, 0.9546, 0.9847, 1.0214, 1.0530000000000002, 1.0926]"
L + ACR2-CTZ,CTZ-1,After,6,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",55,"[1284, 1404, 1520, 1639, 1764, 1890, 2028, 2166, 2314, 2459, 2622, 2792, 2952, 3101, 3263, 3435, 3595, 3766, 3945, 4121, 4298, 4488, 4668, 4856, 5053, 5234, 5422, 5620, 5787, 5952, 6134, 6321, 6512, 6700, 6886, 7090, 7297, 7494, 7691, 7902, 8130, 8312, 8522, 8723, 8937, 9146, 9349, 9606, 9847, 10066, 10289, 10513, 10739, 10979, 11203]","[0.12840000000000001, 0.1404, 0.152, 0.16390000000000002, 0.1764, 0.189, 0.2028, 0.21660000000000001, 0.23140000000000002, 0.2459, 0.2622, 0.2792, 0.2952, 0.31010000000000004, 0.32630000000000003, 0.3435, 0.35950000000000004, 0.3766, 0.3945, 0.4121, 0.4298, 0.44880000000000003, 0.46680000000000005, 0.48560000000000003, 0.5053, 0.5234, 0.5422, 0.562, 0.5787, 0.5952000000000001, 0.6134000000000001, 0.6321, 0.6512, 0.67, 0.6886, 0.7090000000000001, 0.7297, 0.7494000000000001, 0.7691, 0.7902, 0.8130000000000001, 0.8312, 0.8522000000000001, 0.8723000000000001, 0.8937, 0.9146000000000001, 0.9349000000000001, 0.9606, 0.9847, 1.0066, 1.0289000000000001, 1.0513000000000001, 1.0739, 1.0979, 1.1203]"
L + ACR2-CTZ,CTZ-1,After,7,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",68,"[1270, 1365, 1449, 1537, 1634, 1737, 1839, 1946, 2062, 2175, 2291, 2409, 2523, 2643, 2774, 2898, 3040, 3170, 3303, 3438, 3572, 3718, 3855, 3996, 4133, 4279, 4418, 4559, 4718, 4870, 5012, 5159, 5307, 5458, 5620, 5770, 5934, 6090, 6238, 6395, 6553, 6720, 6881, 7042, 7205, 7356, 7507, 7687, 7856, 8019, 8195, 8362, 8545, 8707, 8881, 9059, 9213, 9369, 9535, 9731, 9892, 10083, 10266, 10436, 10616, 10785, 10945, 11125]","[0.127, 0.1365, 0.1449, 0.1537, 0.16340000000000002, 0.17370000000000002, 0.1839, 0.19460000000000002, 0.20620000000000002, 0.2175, 0.2291, 0.2409, 0.2523, 0.26430000000000003, 0.27740000000000004, 0.2898, 0.304, 0.317, 0.33030000000000004, 0.3438, 0.3572, 0.3718, 0.3855, 0.3996, 0.4133, 0.4279, 0.4418, 0.4559, 0.4718, 0.48700000000000004, 0.5012, 0.5159, 0.5307000000000001, 0.5458000000000001, 0.562, 0.5770000000000001, 0.5934, 0.609, 0.6238, 0.6395000000000001, 0.6553, 0.672, 0.6881, 0.7042, 0.7205, 0.7356, 0.7507, 0.7687, 0.7856000000000001, 0.8019000000000001, 0.8195, 0.8362, 0.8545, 0.8707, 0.8881, 0.9059, 0.9213, 0.9369000000000001, 0.9535, 0.9731000000000001, 0.9892000000000001, 1.0083, 1.0266, 1.0436, 1.0616, 1.0785, 1.0945, 1.1125]"
L + ACR2-CTZ,CTZ-1,After,8,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",82,"[1264, 1342, 1408, 1486, 1569, 1656, 1744, 1834, 1927, 2026, 2125, 2229, 2334, 2440, 2549, 2657, 2763, 2873, 2989, 3101, 3215, 3331, 3447, 3562, 3675, 3789, 3899, 4021, 4143, 4262, 4387, 4515, 4638, 4764, 4887, 5010, 5127, 5246, 5374, 5499, 5621, 5743, 5875, 6000, 6131, 6256, 6378, 6500, 6635, 6759, 6886, 7015, 7145, 7269, 7405, 7529, 7656, 7791, 7938, 8083, 8234, 8384, 8522, 8653, 8792, 8926, 9066, 9211, 9355, 9509, 9648, 9778, 9917, 10052, 10187, 10328, 10467, 10614, 10761, 10903, 11045, 11196]","[0.1264, 0.1342, 0.1408, 0.1486, 0.1569, 0.1656, 0.1744, 0.1834, 0.1927, 0.2026, 0.21250000000000002, 0.22290000000000001, 0.23340000000000002, 0.24400000000000002, 0.2549, 0.2657, 0.2763, 0.2873, 0.2989, 0.31010000000000004, 0.3215, 0.3331, 0.3447, 0.3562, 0.3675, 0.3789, 0.3899, 0.4021, 0.4143, 0.4262, 0.43870000000000003, 0.4515, 0.46380000000000005, 0.47640000000000005, 0.4887, 0.501, 0.5127, 0.5246000000000001, 0.5374, 0.5499, 0.5621, 0.5743, 0.5875, 0.6, 0.6131, 0.6256, 0.6378, 0.65, 0.6635, 0.6759000000000001, 0.6886, 0.7015, 0.7145, 0.7269, 0.7405, 0.7529, 0.7656000000000001, 0.7791, 0.7938000000000001, 0.8083, 0.8234, 0.8384, 0.8522000000000001, 0.8653000000000001, 0.8792000000000001, 0.8926000000000001, 0.9066000000000001, 0.9211, 0.9355, 0.9509000000000001, 0.9648, 0.9778, 0.9917, 1.0052, 1.0187, 1.0328, 1.0467, 1.0614000000000001, 1.0761, 1.0903, 1.1045, 1.1196000000000002]"
L + ACR2-CTZ,CTZ-1,After,9,"[[0.05884448724121327, 9.089563763330858], [1.1684833895040925, 10.715424068390377]]",90,"[1261, 1329, 1387, 1454, 1527, 1606, 1684, 1770, 1854, 1937, 2024, 2118, 2212, 2305, 2398, 2494, 2596, 2695, 2797, 2900, 2995, 3092, 3193, 3294, 3391, 3492, 3595, 3696, 3803, 3910, 4017, 4121, 4230, 4341, 4451, 4558, 4668, 4778, 4889, 5004, 5127, 5242, 5364, 5482, 5599, 5726, 5840, 5950, 6074, 6192, 6313, 6436, 6554, 6678, 6800, 6919, 7034, 7160, 7279, 7391, 7508, 7629, 7744, 7868, 7993, 8121, 8242, 8365, 8485, 8606, 8736, 8864, 8986, 9099, 9225, 9351, 9472, 9596, 9727, 9852, 9987, 10110, 10235, 10358, 10485, 10604, 10731, 10857, 10991, 11133]","[0.12610000000000002, 0.13290000000000002, 0.13870000000000002, 0.1454, 0.1527, 0.16060000000000002, 0.16840000000000002, 0.17700000000000002, 0.1854, 0.1937, 0.2024, 0.21180000000000002, 0.2212, 0.2305, 0.2398, 0.2494, 0.2596, 0.2695, 0.2797, 0.29000000000000004, 0.2995, 0.30920000000000003, 0.31930000000000003, 0.3294, 0.3391, 0.3492, 0.35950000000000004, 0.36960000000000004, 0.3803, 0.391, 0.4017, 0.4121, 0.42300000000000004, 0.43410000000000004, 0.4451, 0.45580000000000004, 0.46680000000000005, 0.4778, 0.4889, 0.5004000000000001, 0.5127, 0.5242, 0.5364, 0.5482, 0.5599000000000001, 0.5726, 0.5840000000000001, 0.595, 0.6074, 0.6192000000000001, 0.6313000000000001, 0.6436000000000001, 0.6554, 0.6678000000000001, 0.68, 0.6919000000000001, 0.7034, 0.7160000000000001, 0.7279, 0.7391000000000001, 0.7508, 0.7629, 0.7744000000000001, 0.7868, 0.7993, 0.8121, 0.8242, 0.8365, 0.8485, 0.8606, 0.8736, 0.8864000000000001, 0.8986000000000001, 0.9099, 0.9225000000000001, 0.9351, 0.9472, 0.9596, 0.9727, 0.9852000000000001, 0.9987, 1.0110000000000001, 1.0235, 1.0358, 1.0485, 1.0604, 1.0731, 1.0857, 1.0991, 1.1133]"
