Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + ACR2-CTZ,CTZ-1,Before,3,2339,0.23390000000000002,233.90000000000003,22.0947265625
L + ACR2-CTZ,CTZ-1,Before,3,2842,0.2842,284.2,21.240234375
L + ACR2-CTZ,CTZ-1,Before,3,3449,0.34490000000000004,344.90000000000003,21.087646484375
L + ACR2-CTZ,CTZ-1,Before,3,4256,0.42560000000000003,425.6,20.660400390625
L + ACR2-CTZ,CTZ-1,Before,3,4891,0.48910000000000003,489.1,22.247314453125
L + ACR2-CTZ,CTZ-1,Before,3,6487,0.6487,648.7,21.78955078125
L + ACR2-CTZ,CTZ-1,Before,4,1505,0.1505,150.5,20.44677734375
L + ACR2-CTZ,CTZ-1,Before,4,1712,0.17120000000000002,171.20000000000002,20.751953125
L + ACR2-CTZ,CTZ-1,Before,4,1902,0.1902,190.20000000000002,21.17919921875
L + ACR2-CTZ,CTZ-1,Before,4,2102,0.2102,210.2,19.04296875
L + ACR2-CTZ,CTZ-1,Before,4,2319,0.23190000000000002,231.90000000000003,20.782470703125
L + ACR2-CTZ,CTZ-1,Before,4,2550,0.255,255.0,20.172119140625
L + ACR2-CTZ,CTZ-1,Before,4,2785,0.2785,278.5,18.890380859375
L + ACR2-CTZ,CTZ-1,Before,4,3000,0.3,300.0,20.172119140625
L + ACR2-CTZ,CTZ-1,Before,4,3218,0.32180000000000003,321.8,19.47021484375
L + ACR2-CTZ,CTZ-1,Before,4,3472,0.3472,347.2,19.500732421875
L + ACR2-CTZ,CTZ-1,Before,4,3707,0.37070000000000003,370.70000000000005,17.76123046875
L + ACR2-CTZ,CTZ-1,Before,4,3961,0.3961,396.1,18.524169921875
L + ACR2-CTZ,CTZ-1,Before,4,4218,0.4218,421.8,17.822265625
L + ACR2-CTZ,CTZ-1,Before,4,4472,0.44720000000000004,447.20000000000005,17.791748046875
L + ACR2-CTZ,CTZ-1,Before,4,4729,0.47290000000000004,472.90000000000003,17.791748046875
L + ACR2-CTZ,CTZ-1,Before,4,4989,0.4989,498.90000000000003,18.890380859375
L + ACR2-CTZ,CTZ-1,Before,4,5250,0.525,525.0,19.256591796875
L + ACR2-CTZ,CTZ-1,Before,4,5540,0.554,554.0,18.9208984375
L + ACR2-CTZ,CTZ-1,Before,4,5794,0.5794,579.4,18.98193359375
L + ACR2-CTZ,CTZ-1,Before,4,6074,0.6074,607.4000000000001,18.402099609375
L + ACR2-CTZ,CTZ-1,Before,4,6361,0.6361,636.1,17.547607421875
L + ACR2-CTZ,CTZ-1,Before,4,6638,0.6638000000000001,663.8000000000001,17.486572265625
L + ACR2-CTZ,CTZ-1,Before,4,6918,0.6918000000000001,691.8000000000001,18.310546875
L + ACR2-CTZ,CTZ-1,Before,4,7211,0.7211000000000001,721.1,18.5546875
L + ACR2-CTZ,CTZ-1,Before,4,7481,0.7481,748.1,17.51708984375
L + ACR2-CTZ,CTZ-1,Before,4,7750,0.775,775.0,17.2119140625
L + ACR2-CTZ,CTZ-1,Before,4,8067,0.8067000000000001,806.7,18.12744140625
L + ACR2-CTZ,CTZ-1,Before,4,8369,0.8369000000000001,836.9000000000001,18.035888671875
L + ACR2-CTZ,CTZ-1,Before,4,8661,0.8661000000000001,866.1000000000001,18.035888671875
L + ACR2-CTZ,CTZ-1,Before,4,8948,0.8948,894.8000000000001,17.608642578125
L + ACR2-CTZ,CTZ-1,Before,4,9226,0.9226000000000001,922.6000000000001,18.646240234375
L + ACR2-CTZ,CTZ-1,Before,4,9520,0.9520000000000001,952.0000000000001,16.90673828125
L + ACR2-CTZ,CTZ-1,Before,4,9821,0.9821000000000001,982.1000000000001,18.218994140625
L + ACR2-CTZ,CTZ-1,Before,4,10086,1.0086,1008.5999999999999,18.402099609375
L + ACR2-CTZ,CTZ-1,Before,4,10407,1.0407,1040.7,18.218994140625
L + ACR2-CTZ,CTZ-1,Before,4,10714,1.0714000000000001,1071.4,17.822265625
L + ACR2-CTZ,CTZ-1,Before,4,11039,1.1039,1103.9,18.61572265625
L + ACR2-CTZ,CTZ-1,Before,5,1276,0.12760000000000002,127.60000000000002,19.59228515625
L + ACR2-CTZ,CTZ-1,Before,5,1412,0.14120000000000002,141.20000000000002,19.744873046875
L + ACR2-CTZ,CTZ-1,Before,5,1534,0.1534,153.4,19.47021484375
L + ACR2-CTZ,CTZ-1,Before,5,1661,0.1661,166.1,19.47021484375
L + ACR2-CTZ,CTZ-1,Before,5,1798,0.17980000000000002,179.8,18.49365234375
L + ACR2-CTZ,CTZ-1,Before,5,1931,0.19310000000000002,193.10000000000002,18.24951171875
L + ACR2-CTZ,CTZ-1,Before,5,2072,0.20720000000000002,207.20000000000002,18.035888671875
L + ACR2-CTZ,CTZ-1,Before,5,2219,0.22190000000000001,221.9,18.463134765625
L + ACR2-CTZ,CTZ-1,Before,5,2370,0.23700000000000002,237.00000000000003,18.6767578125
L + ACR2-CTZ,CTZ-1,Before,5,2515,0.2515,251.5,18.4326171875
L + ACR2-CTZ,CTZ-1,Before,5,2675,0.2675,267.5,18.096923828125
L + ACR2-CTZ,CTZ-1,Before,5,2828,0.2828,282.8,17.4560546875
L + ACR2-CTZ,CTZ-1,Before,5,3005,0.3005,300.5,17.88330078125
L + ACR2-CTZ,CTZ-1,Before,5,3165,0.3165,316.5,17.15087890625
L + ACR2-CTZ,CTZ-1,Before,5,3337,0.3337,333.7,16.05224609375
L + ACR2-CTZ,CTZ-1,Before,5,3504,0.3504,350.4,17.15087890625
L + ACR2-CTZ,CTZ-1,Before,5,3665,0.3665,366.5,16.66259765625
L + ACR2-CTZ,CTZ-1,Before,5,3834,0.3834,383.40000000000003,16.90673828125
L + ACR2-CTZ,CTZ-1,Before,5,4009,0.40090000000000003,400.90000000000003,17.303466796875
L + ACR2-CTZ,CTZ-1,Before,5,4185,0.41850000000000004,418.50000000000006,16.448974609375
L + ACR2-CTZ,CTZ-1,Before,5,4361,0.43610000000000004,436.1,15.93017578125
L + ACR2-CTZ,CTZ-1,Before,5,4535,0.4535,453.5,16.204833984375
L + ACR2-CTZ,CTZ-1,Before,5,4708,0.4708,470.8,16.2353515625
L + ACR2-CTZ,CTZ-1,Before,5,4890,0.48900000000000005,489.00000000000006,15.7470703125
L + ACR2-CTZ,CTZ-1,Before,5,5070,0.507,507.0,16.29638671875
L + ACR2-CTZ,CTZ-1,Before,5,5245,0.5245000000000001,524.5000000000001,17.27294921875
L + ACR2-CTZ,CTZ-1,Before,5,5431,0.5431,543.1,17.120361328125
L + ACR2-CTZ,CTZ-1,Before,5,5618,0.5618000000000001,561.8000000000001,16.571044921875
L + ACR2-CTZ,CTZ-1,Before,5,5806,0.5806,580.6,16.998291015625
L + ACR2-CTZ,CTZ-1,Before,5,6001,0.6001000000000001,600.1,16.998291015625
L + ACR2-CTZ,CTZ-1,Before,5,6193,0.6193000000000001,619.3000000000001,17.059326171875
L + ACR2-CTZ,CTZ-1,Before,5,6400,0.64,640.0,16.265869140625
L + ACR2-CTZ,CTZ-1,Before,5,6581,0.6581,658.1,16.66259765625
L + ACR2-CTZ,CTZ-1,Before,5,6768,0.6768000000000001,676.8000000000001,16.05224609375
L + ACR2-CTZ,CTZ-1,Before,5,6962,0.6962,696.2,16.632080078125
L + ACR2-CTZ,CTZ-1,Before,5,7169,0.7169,716.9,16.937255859375
L + ACR2-CTZ,CTZ-1,Before,5,7368,0.7368,736.8,17.02880859375
L + ACR2-CTZ,CTZ-1,Before,5,7557,0.7557,755.7,15.5029296875
L + ACR2-CTZ,CTZ-1,Before,5,7754,0.7754000000000001,775.4000000000001,16.693115234375
L + ACR2-CTZ,CTZ-1,Before,5,7938,0.7938000000000001,793.8000000000001,16.17431640625
L + ACR2-CTZ,CTZ-1,Before,5,8126,0.8126,812.6,15.5029296875
L + ACR2-CTZ,CTZ-1,Before,5,8317,0.8317,831.7,17.242431640625
L + ACR2-CTZ,CTZ-1,Before,5,8518,0.8518,851.8,16.41845703125
L + ACR2-CTZ,CTZ-1,Before,5,8703,0.8703000000000001,870.3000000000001,16.11328125
L + ACR2-CTZ,CTZ-1,Before,5,8891,0.8891,889.1,16.571044921875
L + ACR2-CTZ,CTZ-1,Before,5,9089,0.9089,908.9000000000001,16.571044921875
L + ACR2-CTZ,CTZ-1,Before,5,9263,0.9263,926.3000000000001,16.9677734375
L + ACR2-CTZ,CTZ-1,Before,5,9447,0.9447000000000001,944.7,16.571044921875
L + ACR2-CTZ,CTZ-1,Before,5,9640,0.9640000000000001,964.0000000000001,16.998291015625
L + ACR2-CTZ,CTZ-1,Before,5,9828,0.9828,982.8,16.78466796875
L + ACR2-CTZ,CTZ-1,Before,5,10020,1.002,1002.0,15.533447265625
L + ACR2-CTZ,CTZ-1,Before,5,10213,1.0213,1021.3000000000001,16.632080078125
L + ACR2-CTZ,CTZ-1,Before,5,10424,1.0424,1042.4,15.44189453125
L + ACR2-CTZ,CTZ-1,Before,5,10626,1.0626,1062.6,15.869140625
L + ACR2-CTZ,CTZ-1,Before,5,10828,1.0828,1082.8,15.31982421875
L + ACR2-CTZ,CTZ-1,Before,5,11023,1.1023,1102.3,15.838623046875
L + ACR2-CTZ,CTZ-1,Before,5,11223,1.1223,1122.3000000000002,16.265869140625
L + ACR2-CTZ,CTZ-1,Before,6,1268,0.1268,126.8,18.218994140625
L + ACR2-CTZ,CTZ-1,Before,6,1370,0.137,137.0,17.181396484375
L + ACR2-CTZ,CTZ-1,Before,6,1465,0.14650000000000002,146.50000000000003,18.035888671875
L + ACR2-CTZ,CTZ-1,Before,6,1564,0.1564,156.4,17.2119140625
L + ACR2-CTZ,CTZ-1,Before,6,1667,0.16670000000000001,166.70000000000002,17.578125
L + ACR2-CTZ,CTZ-1,Before,6,1776,0.1776,177.6,16.693115234375
L + ACR2-CTZ,CTZ-1,Before,6,1891,0.18910000000000002,189.10000000000002,17.303466796875
L + ACR2-CTZ,CTZ-1,Before,6,2005,0.2005,200.5,16.4794921875
L + ACR2-CTZ,CTZ-1,Before,6,2124,0.2124,212.4,16.17431640625
L + ACR2-CTZ,CTZ-1,Before,6,2244,0.22440000000000002,224.4,17.02880859375
L + ACR2-CTZ,CTZ-1,Before,6,2359,0.2359,235.9,16.387939453125
L + ACR2-CTZ,CTZ-1,Before,6,2481,0.24810000000000001,248.10000000000002,15.93017578125
L + ACR2-CTZ,CTZ-1,Before,6,2606,0.2606,260.6,16.4794921875
L + ACR2-CTZ,CTZ-1,Before,6,2732,0.2732,273.2,16.143798828125
L + ACR2-CTZ,CTZ-1,Before,6,2860,0.28600000000000003,286.00000000000006,15.869140625
L + ACR2-CTZ,CTZ-1,Before,6,2986,0.29860000000000003,298.6,16.357421875
L + ACR2-CTZ,CTZ-1,Before,6,3115,0.3115,311.5,15.472412109375
L + ACR2-CTZ,CTZ-1,Before,6,3242,0.3242,324.2,15.80810546875
L + ACR2-CTZ,CTZ-1,Before,6,3368,0.33680000000000004,336.80000000000007,15.838623046875
L + ACR2-CTZ,CTZ-1,Before,6,3496,0.3496,349.6,16.021728515625
L + ACR2-CTZ,CTZ-1,Before,6,3625,0.36250000000000004,362.50000000000006,15.80810546875
L + ACR2-CTZ,CTZ-1,Before,6,3752,0.37520000000000003,375.20000000000005,14.984130859375
L + ACR2-CTZ,CTZ-1,Before,6,3881,0.3881,388.1,15.899658203125
L + ACR2-CTZ,CTZ-1,Before,6,4006,0.4006,400.6,14.495849609375
L + ACR2-CTZ,CTZ-1,Before,6,4133,0.4133,413.3,15.350341796875
L + ACR2-CTZ,CTZ-1,Before,6,4266,0.42660000000000003,426.6,15.0146484375
L + ACR2-CTZ,CTZ-1,Before,6,4402,0.44020000000000004,440.20000000000005,15.777587890625
L + ACR2-CTZ,CTZ-1,Before,6,4544,0.4544,454.40000000000003,15.228271484375
L + ACR2-CTZ,CTZ-1,Before,6,4684,0.46840000000000004,468.40000000000003,14.2822265625
L + ACR2-CTZ,CTZ-1,Before,6,4820,0.48200000000000004,482.00000000000006,16.143798828125
L + ACR2-CTZ,CTZ-1,Before,6,4959,0.4959,495.90000000000003,15.716552734375
L + ACR2-CTZ,CTZ-1,Before,6,5091,0.5091,509.1,15.0146484375
L + ACR2-CTZ,CTZ-1,Before,6,5234,0.5234,523.4,15.0146484375
L + ACR2-CTZ,CTZ-1,Before,6,5372,0.5372,537.2,15.960693359375
L + ACR2-CTZ,CTZ-1,Before,6,5509,0.5509000000000001,550.9000000000001,16.021728515625
L + ACR2-CTZ,CTZ-1,Before,6,5647,0.5647,564.6999999999999,15.5029296875
L + ACR2-CTZ,CTZ-1,Before,6,5786,0.5786,578.6,14.70947265625
L + ACR2-CTZ,CTZ-1,Before,6,5926,0.5926,592.6,15.289306640625
L + ACR2-CTZ,CTZ-1,Before,6,6063,0.6063000000000001,606.3000000000001,15.93017578125
L + ACR2-CTZ,CTZ-1,Before,6,6203,0.6203000000000001,620.3000000000001,15.0146484375
L + ACR2-CTZ,CTZ-1,Before,6,6343,0.6343,634.3,15.0146484375
L + ACR2-CTZ,CTZ-1,Before,6,6491,0.6491,649.1,15.625
L + ACR2-CTZ,CTZ-1,Before,6,6636,0.6636000000000001,663.6,15.289306640625
L + ACR2-CTZ,CTZ-1,Before,6,6768,0.6768000000000001,676.8000000000001,15.07568359375
L + ACR2-CTZ,CTZ-1,Before,6,6900,0.6900000000000001,690.0000000000001,16.021728515625
L + ACR2-CTZ,CTZ-1,Before,6,7041,0.7041000000000001,704.1,14.70947265625
L + ACR2-CTZ,CTZ-1,Before,6,7190,0.7190000000000001,719.0000000000001,14.58740234375
L + ACR2-CTZ,CTZ-1,Before,6,7340,0.734,734.0,15.045166015625
L + ACR2-CTZ,CTZ-1,Before,6,7495,0.7495,749.5,14.801025390625
L + ACR2-CTZ,CTZ-1,Before,6,7638,0.7638,763.8000000000001,15.411376953125
L + ACR2-CTZ,CTZ-1,Before,6,7783,0.7783,778.3,14.923095703125
L + ACR2-CTZ,CTZ-1,Before,6,7925,0.7925000000000001,792.5000000000001,14.5263671875
L + ACR2-CTZ,CTZ-1,Before,6,8074,0.8074,807.4,14.923095703125
L + ACR2-CTZ,CTZ-1,Before,6,8228,0.8228000000000001,822.8000000000001,15.472412109375
L + ACR2-CTZ,CTZ-1,Before,6,8380,0.8380000000000001,838.0000000000001,15.2587890625
L + ACR2-CTZ,CTZ-1,Before,6,8525,0.8525,852.5,15.472412109375
L + ACR2-CTZ,CTZ-1,Before,6,8677,0.8677,867.7,14.312744140625
L + ACR2-CTZ,CTZ-1,Before,6,8818,0.8818,881.8000000000001,15.350341796875
L + ACR2-CTZ,CTZ-1,Before,6,8969,0.8969,896.9,15.625
L + ACR2-CTZ,CTZ-1,Before,6,9111,0.9111,911.1,15.777587890625
L + ACR2-CTZ,CTZ-1,Before,6,9256,0.9256000000000001,925.6000000000001,15.0146484375
L + ACR2-CTZ,CTZ-1,Before,6,9402,0.9402,940.2,15.869140625
L + ACR2-CTZ,CTZ-1,Before,6,9561,0.9561000000000001,956.1,14.5263671875
L + ACR2-CTZ,CTZ-1,Before,6,9712,0.9712000000000001,971.2,15.411376953125
L + ACR2-CTZ,CTZ-1,Before,6,9864,0.9864,986.4000000000001,15.472412109375
L + ACR2-CTZ,CTZ-1,Before,6,10021,1.0021,1002.1,15.07568359375
L + ACR2-CTZ,CTZ-1,Before,6,10177,1.0177,1017.7,15.411376953125
L + ACR2-CTZ,CTZ-1,Before,6,10333,1.0333,1033.3000000000002,15.228271484375
L + ACR2-CTZ,CTZ-1,Before,6,10492,1.0492000000000001,1049.2,14.251708984375
L + ACR2-CTZ,CTZ-1,Before,6,10650,1.065,1065.0,14.617919921875
L + ACR2-CTZ,CTZ-1,Before,6,10803,1.0803,1080.3,14.70947265625
L + ACR2-CTZ,CTZ-1,Before,6,10954,1.0954000000000002,1095.4,15.2587890625
L + ACR2-CTZ,CTZ-1,Before,6,11109,1.1109,1110.9,14.190673828125
L + ACR2-CTZ,CTZ-1,Before,7,1262,0.1262,126.2,17.181396484375
L + ACR2-CTZ,CTZ-1,Before,7,1347,0.13470000000000001,134.70000000000002,16.876220703125
L + ACR2-CTZ,CTZ-1,Before,7,1423,0.1423,142.3,16.90673828125
L + ACR2-CTZ,CTZ-1,Before,7,1508,0.15080000000000002,150.8,15.380859375
L + ACR2-CTZ,CTZ-1,Before,7,1594,0.15940000000000001,159.4,16.4794921875
L + ACR2-CTZ,CTZ-1,Before,7,1681,0.1681,168.1,15.7470703125
L + ACR2-CTZ,CTZ-1,Before,7,1773,0.1773,177.3,15.350341796875
L + ACR2-CTZ,CTZ-1,Before,7,1868,0.18680000000000002,186.8,15.93017578125
L + ACR2-CTZ,CTZ-1,Before,7,1964,0.19640000000000002,196.4,16.2353515625
L + ACR2-CTZ,CTZ-1,Before,7,2059,0.2059,205.9,16.17431640625
L + ACR2-CTZ,CTZ-1,Before,7,2161,0.21610000000000001,216.10000000000002,15.380859375
