Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + ACR2-CTZ,CTZ-5,Before,3,1335,0.1335,133.5,31.097412109375
L + ACR2-CTZ,CTZ-5,Before,3,1776,0.1776,177.6,30.3955078125
L + ACR2-CTZ,CTZ-5,Before,3,4469,0.4469,446.90000000000003,30.731201171875
L + ACR2-CTZ,CTZ-5,Before,3,9312,0.9312,931.2,30.70068359375
L + ACR2-CTZ,CTZ-5,Before,4,1276,0.12760000000000002,127.60000000000002,30.6396484375
L + ACR2-CTZ,CTZ-5,Before,4,1410,0.14100000000000001,141.0,29.815673828125
L + ACR2-CTZ,CTZ-5,Before,4,1586,0.15860000000000002,158.60000000000002,29.96826171875
L + ACR2-CTZ,CTZ-5,Before,4,1757,0.1757,175.7,29.876708984375
L + ACR2-CTZ,CTZ-5,Before,4,1956,0.1956,195.6,28.961181640625
L + ACR2-CTZ,CTZ-5,Before,4,2184,0.2184,218.4,28.717041015625
L + ACR2-CTZ,CTZ-5,Before,4,2399,0.2399,239.9,28.6865234375
L + ACR2-CTZ,CTZ-5,Before,4,2611,0.2611,261.1,29.541015625
L + ACR2-CTZ,CTZ-5,Before,4,2827,0.2827,282.7,28.62548828125
L + ACR2-CTZ,CTZ-5,Before,4,3081,0.30810000000000004,308.1,28.717041015625
L + ACR2-CTZ,CTZ-5,Before,4,3346,0.3346,334.6,28.778076171875
L + ACR2-CTZ,CTZ-5,Before,4,3850,0.385,385.0,28.350830078125
L + ACR2-CTZ,CTZ-5,Before,4,4067,0.4067,406.7,28.778076171875
L + ACR2-CTZ,CTZ-5,Before,4,4302,0.4302,430.20000000000005,29.083251953125
L + ACR2-CTZ,CTZ-5,Before,4,5184,0.5184,518.4,28.778076171875
L + ACR2-CTZ,CTZ-5,Before,4,5507,0.5507000000000001,550.7,28.472900390625
L + ACR2-CTZ,CTZ-5,Before,4,5940,0.5940000000000001,594.0000000000001,28.167724609375
L + ACR2-CTZ,CTZ-5,Before,4,6251,0.6251,625.1,28.25927734375
L + ACR2-CTZ,CTZ-5,Before,4,6503,0.6503,650.3,28.778076171875
L + ACR2-CTZ,CTZ-5,Before,4,7283,0.7283000000000001,728.3000000000001,29.266357421875
L + ACR2-CTZ,CTZ-5,Before,4,7616,0.7616,761.6,28.961181640625
L + ACR2-CTZ,CTZ-5,Before,4,8256,0.8256,825.6,29.510498046875
L + ACR2-CTZ,CTZ-5,Before,4,8674,0.8674000000000001,867.4000000000001,29.632568359375
L + ACR2-CTZ,CTZ-5,Before,4,9083,0.9083,908.3,28.839111328125
L + ACR2-CTZ,CTZ-5,Before,4,9383,0.9383,938.3000000000001,29.35791015625
L + ACR2-CTZ,CTZ-5,Before,4,9685,0.9685,968.5,28.900146484375
L + ACR2-CTZ,CTZ-5,Before,4,10193,1.0193,1019.3000000000001,28.106689453125
L + ACR2-CTZ,CTZ-5,Before,4,10582,1.0582,1058.2,28.472900390625
L + ACR2-CTZ,CTZ-5,Before,5,1264,0.1264,126.4,30.45654296875
L + ACR2-CTZ,CTZ-5,Before,5,1354,0.13540000000000002,135.40000000000003,28.778076171875
L + ACR2-CTZ,CTZ-5,Before,5,1462,0.1462,146.2,29.35791015625
L + ACR2-CTZ,CTZ-5,Before,5,1588,0.1588,158.79999999999998,28.533935546875
L + ACR2-CTZ,CTZ-5,Before,5,1734,0.1734,173.4,28.564453125
L + ACR2-CTZ,CTZ-5,Before,5,1880,0.188,188.0,28.01513671875
L + ACR2-CTZ,CTZ-5,Before,5,2024,0.2024,202.4,28.74755859375
L + ACR2-CTZ,CTZ-5,Before,5,2194,0.2194,219.4,28.01513671875
L + ACR2-CTZ,CTZ-5,Before,5,2369,0.2369,236.9,28.13720703125
L + ACR2-CTZ,CTZ-5,Before,5,2545,0.2545,254.5,28.38134765625
L + ACR2-CTZ,CTZ-5,Before,5,2702,0.2702,270.2,27.801513671875
L + ACR2-CTZ,CTZ-5,Before,5,2873,0.2873,287.3,27.801513671875
L + ACR2-CTZ,CTZ-5,Before,5,3085,0.3085,308.5,27.679443359375
L + ACR2-CTZ,CTZ-5,Before,5,3263,0.32630000000000003,326.3,28.228759765625
L + ACR2-CTZ,CTZ-5,Before,5,3441,0.3441,344.1,27.801513671875
L + ACR2-CTZ,CTZ-5,Before,5,3617,0.3617,361.70000000000005,28.106689453125
L + ACR2-CTZ,CTZ-5,Before,5,3807,0.38070000000000004,380.70000000000005,28.01513671875
L + ACR2-CTZ,CTZ-5,Before,5,3997,0.3997,399.7,27.7099609375
L + ACR2-CTZ,CTZ-5,Before,5,4174,0.4174,417.4,27.4658203125
L + ACR2-CTZ,CTZ-5,Before,5,4433,0.4433,443.3,27.03857421875
L + ACR2-CTZ,CTZ-5,Before,5,4620,0.462,462.0,27.374267578125
L + ACR2-CTZ,CTZ-5,Before,5,4838,0.4838,483.8,27.2216796875
L + ACR2-CTZ,CTZ-5,Before,5,5032,0.5032,503.2,27.130126953125
L + ACR2-CTZ,CTZ-5,Before,5,5263,0.5263,526.3,27.16064453125
L + ACR2-CTZ,CTZ-5,Before,5,5499,0.5499,549.9000000000001,27.03857421875
L + ACR2-CTZ,CTZ-5,Before,5,5726,0.5726,572.6,26.9775390625
L + ACR2-CTZ,CTZ-5,Before,5,5947,0.5947,594.7,27.03857421875
L + ACR2-CTZ,CTZ-5,Before,5,6200,0.62,620.0,27.435302734375
L + ACR2-CTZ,CTZ-5,Before,5,6417,0.6417,641.7,27.313232421875
L + ACR2-CTZ,CTZ-5,Before,5,6695,0.6695,669.5,26.519775390625
L + ACR2-CTZ,CTZ-5,Before,5,7706,0.7706000000000001,770.6,27.77099609375
L + ACR2-CTZ,CTZ-5,Before,5,7980,0.798,798.0,27.34375
L + ACR2-CTZ,CTZ-5,Before,5,8214,0.8214,821.4,27.740478515625
L + ACR2-CTZ,CTZ-5,Before,5,8441,0.8441000000000001,844.1,28.106689453125
L + ACR2-CTZ,CTZ-5,Before,5,8655,0.8655,865.5,27.64892578125
L + ACR2-CTZ,CTZ-5,Before,5,9313,0.9313,931.3000000000001,27.252197265625
L + ACR2-CTZ,CTZ-5,Before,5,9570,0.9570000000000001,957.0000000000001,26.763916015625
L + ACR2-CTZ,CTZ-5,Before,5,9831,0.9831000000000001,983.1000000000001,27.435302734375
