Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + ACR2-CTZ,CTZ-7,Before,0,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",0,[],[]
L + ACR2-CTZ,CTZ-7,Before,1,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",0,[],[]
L + ACR2-CTZ,CTZ-7,Before,2,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",0,[],[]
L + ACR2-CTZ,CTZ-7,Before,3,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",0,[],[]
L + ACR2-CTZ,CTZ-7,Before,4,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",0,[],[]
L + ACR2-CTZ,CTZ-7,Before,5,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",0,[],[]
L + ACR2-CTZ,CTZ-7,Before,6,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",0,[],[]
L + ACR2-CTZ,CTZ-7,Before,7,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",4,"[1511, 2011, 2736, 2805]","[0.1511, 0.2011, 0.2736, 0.2805]"
L + ACR2-CTZ,CTZ-7,Before,8,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",8,"[1291, 1512, 1780, 2110, 2413, 2716, 3153, 6131]","[0.1291, 0.1512, 0.17800000000000002, 0.21100000000000002, 0.24130000000000001, 0.2716, 0.3153, 0.6131]"
L + ACR2-CTZ,CTZ-7,Before,9,"[[0.004865252636361395, -4.492308601500483], [1.1361405102943638, -7.5626676044766725]]",16,"[1283, 1436, 1625, 1837, 2078, 2338, 2658, 2980, 3649, 3910, 4734, 5158, 5568, 7260, 8903, 9234]","[0.1283, 0.1436, 0.1625, 0.1837, 0.2078, 0.2338, 0.26580000000000004, 0.298, 0.3649, 0.391, 0.47340000000000004, 0.5158, 0.5568000000000001, 0.7260000000000001, 0.8903000000000001, 0.9234]"
L + ACR2-CTZ,CTZ-7,After,0,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,1,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,2,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,3,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,4,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,5,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,6,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,7,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,8,null,0,[],[]
L + ACR2-CTZ,CTZ-7,After,9,null,0,[],[]
