Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-CTZ,CTZ-16,Before,0,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",0,[],[]
L + CS-CTZ,CTZ-16,Before,1,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",0,[],[]
L + CS-CTZ,CTZ-16,Before,2,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",0,[],[]
L + CS-CTZ,CTZ-16,Before,3,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",0,[],[]
L + CS-CTZ,CTZ-16,Before,4,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",0,[],[]
L + CS-CTZ,CTZ-16,Before,5,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",0,[],[]
L + CS-CTZ,CTZ-16,Before,6,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",4,"[1278, 1495, 1762, 2045]","[0.1278, 0.1495, 0.1762, 0.20450000000000002]"
L + CS-CTZ,CTZ-16,Before,7,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",13,"[1265, 1422, 1608, 1801, 2011, 2221, 2441, 2669, 2882, 3114, 3340, 3586, 3829]","[0.1265, 0.1422, 0.1608, 0.1801, 0.2011, 0.22210000000000002, 0.2441, 0.2669, 0.2882, 0.3114, 0.334, 0.35860000000000003, 0.3829]"
L + CS-CTZ,CTZ-16,Before,8,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",37,"[1259, 1387, 1544, 1717, 1893, 2064, 2238, 2416, 2604, 2794, 2991, 3178, 3371, 3571, 3778, 3974, 4172, 4370, 4575, 4771, 4970, 5187, 5388, 5608, 5816, 6049, 6262, 6472, 6674, 6877, 7103, 7332, 7563, 7777, 8016, 8248, 8476]","[0.1259, 0.13870000000000002, 0.1544, 0.17170000000000002, 0.1893, 0.2064, 0.2238, 0.2416, 0.2604, 0.27940000000000004, 0.29910000000000003, 0.3178, 0.3371, 0.35710000000000003, 0.3778, 0.39740000000000003, 0.4172, 0.437, 0.4575, 0.4771, 0.497, 0.5187, 0.5388000000000001, 0.5608000000000001, 0.5816, 0.6049, 0.6262, 0.6472, 0.6674, 0.6877, 0.7103, 0.7332000000000001, 0.7563000000000001, 0.7777000000000001, 0.8016000000000001, 0.8248000000000001, 0.8476]"
L + CS-CTZ,CTZ-16,Before,9,"[[0.013491039426523244, -6.019357508718777], [1.1666379928315411, -2.9174871862446423]]",56,"[1254, 1367, 1501, 1644, 1795, 1935, 2099, 2263, 2432, 2591, 2768, 2936, 3107, 3286, 3462, 3644, 3822, 4013, 4202, 4382, 4563, 4768, 4968, 5150, 5338, 5525, 5704, 5888, 6079, 6276, 6464, 6654, 6844, 7036, 7218, 7397, 7573, 7765, 7951, 8149, 8337, 8538, 8733, 8934, 9132, 9323, 9506, 9689, 9876, 10062, 10249, 10434, 10618, 10821, 11019, 11216]","[0.1254, 0.13670000000000002, 0.1501, 0.16440000000000002, 0.17950000000000002, 0.1935, 0.2099, 0.2263, 0.2432, 0.2591, 0.2768, 0.2936, 0.31070000000000003, 0.3286, 0.3462, 0.3644, 0.38220000000000004, 0.40130000000000005, 0.4202, 0.43820000000000003, 0.45630000000000004, 0.4768, 0.4968, 0.515, 0.5338, 0.5525, 0.5704, 0.5888, 0.6079, 0.6276, 0.6464000000000001, 0.6654, 0.6844, 0.7036, 0.7218, 0.7397, 0.7573000000000001, 0.7765000000000001, 0.7951, 0.8149000000000001, 0.8337, 0.8538, 0.8733000000000001, 0.8934000000000001, 0.9132, 0.9323, 0.9506, 0.9689000000000001, 0.9876, 1.0062, 1.0249000000000001, 1.0434, 1.0618, 1.0821, 1.1019, 1.1216000000000002]"
L + CS-CTZ,CTZ-16,After,0,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",0,[],[]
L + CS-CTZ,CTZ-16,After,1,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",0,[],[]
L + CS-CTZ,CTZ-16,After,2,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",0,[],[]
L + CS-CTZ,CTZ-16,After,3,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",0,[],[]
L + CS-CTZ,CTZ-16,After,4,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",0,[],[]
L + CS-CTZ,CTZ-16,After,5,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",3,"[1313, 1618, 1931]","[0.1313, 0.1618, 0.19310000000000002]"
L + CS-CTZ,CTZ-16,After,6,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",14,"[1273, 1459, 1658, 1878, 2122, 2391, 2642, 2918, 3187, 3437, 3744, 4010, 4299, 4562]","[0.1273, 0.1459, 0.1658, 0.18780000000000002, 0.2122, 0.2391, 0.2642, 0.2918, 0.31870000000000004, 0.3437, 0.3744, 0.401, 0.4299, 0.4562]"
L + CS-CTZ,CTZ-16,After,7,"[[0.04613384689455946, -0.8512335308527668], [1.179922965816081, -1.511428903541514]]",47,"[1263, 1416, 1584, 1762, 1943, 2126, 2315, 2514, 2705, 2909, 3108, 3292, 3483, 3685, 3879, 4088, 4298, 4519, 4728, 4933, 5156, 5370, 5581, 5801, 6008, 6231, 6461, 6690, 6908, 7121, 7370, 7605, 7860, 8084, 8316, 8557, 8822, 9067, 9299, 9524, 9758, 9992, 10221, 10454, 10685, 10922, 11170]","[0.1263, 0.1416, 0.1584, 0.1762, 0.1943, 0.2126, 0.2315, 0.2514, 0.2705, 0.2909, 0.3108, 0.3292, 0.3483, 0.3685, 0.3879, 0.4088, 0.4298, 0.4519, 0.4728, 0.4933, 0.5156000000000001, 0.537, 0.5581, 0.5801000000000001, 0.6008, 0.6231, 0.6461, 0.669, 0.6908000000000001, 0.7121000000000001, 0.737, 0.7605000000000001, 0.786, 0.8084, 0.8316, 0.8557, 0.8822000000000001, 0.9067000000000001, 0.9299000000000001, 0.9524, 0.9758, 0.9992000000000001, 1.0221, 1.0454, 1.0685, 1.0922, 1.117]"
