Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + CS-CTZ,CTZ-5,Before,3,1311,0.1311,131.1,7.14111328125
L + CS-CTZ,CTZ-5,Before,3,3305,0.3305,330.5,7.568359375
L + CS-CTZ,CTZ-5,Before,3,5155,0.5155000000000001,515.5000000000001,7.110595703125
L + CS-CTZ,CTZ-5,Before,3,9652,0.9652000000000001,965.2,6.683349609375
L + CS-CTZ,CTZ-5,Before,4,1253,0.1253,125.3,10.650634765625
L + CS-CTZ,CTZ-5,Before,4,1344,0.13440000000000002,134.4,7.232666015625
L + CS-CTZ,CTZ-5,Before,4,1435,0.14350000000000002,143.50000000000003,7.38525390625
L + CS-CTZ,CTZ-5,Before,4,1537,0.1537,153.70000000000002,6.77490234375
L + CS-CTZ,CTZ-5,Before,4,1641,0.1641,164.1,8.1787109375
L + CS-CTZ,CTZ-5,Before,4,1750,0.17500000000000002,175.00000000000003,8.36181640625
L + CS-CTZ,CTZ-5,Before,4,1866,0.18660000000000002,186.60000000000002,8.758544921875
L + CS-CTZ,CTZ-5,Before,4,1982,0.19820000000000002,198.20000000000002,8.880615234375
L + CS-CTZ,CTZ-5,Before,4,2098,0.20980000000000001,209.8,8.97216796875
L + CS-CTZ,CTZ-5,Before,4,2217,0.2217,221.70000000000002,8.392333984375
L + CS-CTZ,CTZ-5,Before,4,2348,0.2348,234.8,9.33837890625
L + CS-CTZ,CTZ-5,Before,4,2480,0.248,248.0,9.27734375
L + CS-CTZ,CTZ-5,Before,4,2614,0.2614,261.40000000000003,9.09423828125
L + CS-CTZ,CTZ-5,Before,4,2739,0.27390000000000003,273.90000000000003,9.307861328125
L + CS-CTZ,CTZ-5,Before,4,2866,0.2866,286.6,9.063720703125
L + CS-CTZ,CTZ-5,Before,4,2990,0.299,299.0,9.3994140625
L + CS-CTZ,CTZ-5,Before,4,3122,0.31220000000000003,312.20000000000005,9.002685546875
L + CS-CTZ,CTZ-5,Before,4,3243,0.32430000000000003,324.3,9.002685546875
L + CS-CTZ,CTZ-5,Before,4,3378,0.3378,337.8,9.368896484375
L + CS-CTZ,CTZ-5,Before,4,3512,0.3512,351.2,8.819580078125
L + CS-CTZ,CTZ-5,Before,4,3659,0.3659,365.9,8.36181640625
L + CS-CTZ,CTZ-5,Before,4,3795,0.3795,379.5,9.124755859375
L + CS-CTZ,CTZ-5,Before,4,3937,0.3937,393.7,9.33837890625
L + CS-CTZ,CTZ-5,Before,4,4080,0.40800000000000003,408.00000000000006,9.490966796875
L + CS-CTZ,CTZ-5,Before,4,4224,0.4224,422.4,9.765625
L + CS-CTZ,CTZ-5,Before,4,4372,0.43720000000000003,437.20000000000005,9.613037109375
L + CS-CTZ,CTZ-5,Before,4,4514,0.4514,451.40000000000003,9.246826171875
L + CS-CTZ,CTZ-5,Before,4,4657,0.4657,465.7,9.002685546875
L + CS-CTZ,CTZ-5,Before,4,4797,0.4797,479.7,9.6435546875
L + CS-CTZ,CTZ-5,Before,4,4934,0.4934,493.4,9.09423828125
L + CS-CTZ,CTZ-5,Before,4,5088,0.5088,508.8,8.36181640625
L + CS-CTZ,CTZ-5,Before,4,5227,0.5227,522.7,8.697509765625
L + CS-CTZ,CTZ-5,Before,4,5387,0.5387000000000001,538.7,8.36181640625
L + CS-CTZ,CTZ-5,Before,4,5531,0.5531,553.1,9.002685546875
L + CS-CTZ,CTZ-5,Before,4,5670,0.5670000000000001,567.0000000000001,8.60595703125
L + CS-CTZ,CTZ-5,Before,4,5820,0.5820000000000001,582.0000000000001,8.85009765625
L + CS-CTZ,CTZ-5,Before,4,5960,0.596,596.0,9.002685546875
L + CS-CTZ,CTZ-5,Before,4,6098,0.6098,609.8,8.270263671875
L + CS-CTZ,CTZ-5,Before,4,6249,0.6249,624.9,8.697509765625
L + CS-CTZ,CTZ-5,Before,4,6400,0.64,640.0,8.148193359375
L + CS-CTZ,CTZ-5,Before,4,6541,0.6541,654.1,8.575439453125
L + CS-CTZ,CTZ-5,Before,4,6685,0.6685,668.5,9.09423828125
L + CS-CTZ,CTZ-5,Before,4,6829,0.6829000000000001,682.9000000000001,8.48388671875
L + CS-CTZ,CTZ-5,Before,4,6980,0.6980000000000001,698.0000000000001,8.7890625
L + CS-CTZ,CTZ-5,Before,4,7126,0.7126,712.6,8.026123046875
L + CS-CTZ,CTZ-5,Before,4,7275,0.7275,727.5,7.62939453125
L + CS-CTZ,CTZ-5,Before,4,7433,0.7433000000000001,743.3000000000001,9.033203125
L + CS-CTZ,CTZ-5,Before,4,7582,0.7582,758.1999999999999,8.880615234375
L + CS-CTZ,CTZ-5,Before,4,7741,0.7741,774.1,8.6669921875
L + CS-CTZ,CTZ-5,Before,4,7900,0.79,790.0,8.941650390625
L + CS-CTZ,CTZ-5,Before,4,8070,0.807,807.0,7.4462890625
L + CS-CTZ,CTZ-5,Before,4,8234,0.8234,823.4,8.85009765625
L + CS-CTZ,CTZ-5,Before,4,8392,0.8392000000000001,839.2,8.7890625
L + CS-CTZ,CTZ-5,Before,4,8544,0.8544,854.4000000000001,8.453369140625
L + CS-CTZ,CTZ-5,Before,4,8711,0.8711000000000001,871.1000000000001,8.36181640625
L + CS-CTZ,CTZ-5,Before,4,8884,0.8884000000000001,888.4000000000001,7.843017578125
L + CS-CTZ,CTZ-5,Before,4,9033,0.9033,903.3,9.063720703125
L + CS-CTZ,CTZ-5,Before,4,9185,0.9185000000000001,918.5000000000001,7.293701171875
L + CS-CTZ,CTZ-5,Before,4,9322,0.9322,932.2,8.087158203125
L + CS-CTZ,CTZ-5,Before,4,9474,0.9474,947.4,7.781982421875
L + CS-CTZ,CTZ-5,Before,4,9638,0.9638000000000001,963.8000000000001,7.99560546875
L + CS-CTZ,CTZ-5,Before,4,9792,0.9792000000000001,979.2,7.843017578125
L + CS-CTZ,CTZ-5,Before,4,9933,0.9933000000000001,993.3000000000001,8.36181640625
L + CS-CTZ,CTZ-5,Before,4,10088,1.0088000000000001,1008.8000000000002,8.056640625
L + CS-CTZ,CTZ-5,Before,4,10250,1.0250000000000001,1025.0000000000002,7.87353515625
L + CS-CTZ,CTZ-5,Before,4,10415,1.0415,1041.5,8.056640625
L + CS-CTZ,CTZ-5,Before,4,10563,1.0563,1056.3,8.11767578125
L + CS-CTZ,CTZ-5,Before,4,10708,1.0708,1070.8,7.659912109375
L + CS-CTZ,CTZ-5,Before,4,10851,1.0851,1085.1,8.30078125
L + CS-CTZ,CTZ-5,Before,4,11006,1.1006,1100.6,7.9345703125
L + CS-CTZ,CTZ-5,Before,4,11154,1.1154,1115.3999999999999,8.331298828125
L + CS-CTZ,CTZ-5,Before,5,1264,0.1264,126.4,15.411376953125
L + CS-CTZ,CTZ-5,Before,5,1332,0.1332,133.20000000000002,10.589599609375
L + CS-CTZ,CTZ-5,Before,5,1411,0.1411,141.1,11.138916015625
L + CS-CTZ,CTZ-5,Before,5,1495,0.1495,149.5,11.77978515625
L + CS-CTZ,CTZ-5,Before,5,1584,0.1584,158.4,11.474609375
L + CS-CTZ,CTZ-5,Before,5,1676,0.1676,167.6,11.199951171875
L + CS-CTZ,CTZ-5,Before,5,1766,0.1766,176.6,11.41357421875
L + CS-CTZ,CTZ-5,Before,5,1864,0.1864,186.4,11.749267578125
L + CS-CTZ,CTZ-5,Before,5,1967,0.1967,196.70000000000002,11.04736328125
L + CS-CTZ,CTZ-5,Before,5,2065,0.20650000000000002,206.50000000000003,11.016845703125
L + CS-CTZ,CTZ-5,Before,5,2158,0.21580000000000002,215.8,11.5966796875
L + CS-CTZ,CTZ-5,Before,5,2262,0.2262,226.20000000000002,11.29150390625
L + CS-CTZ,CTZ-5,Before,5,2365,0.23650000000000002,236.50000000000003,10.986328125
L + CS-CTZ,CTZ-5,Before,5,2465,0.24650000000000002,246.50000000000003,10.284423828125
L + CS-CTZ,CTZ-5,Before,5,2566,0.2566,256.6,10.80322265625
L + CS-CTZ,CTZ-5,Before,5,2676,0.2676,267.6,10.80322265625
L + CS-CTZ,CTZ-5,Before,5,2776,0.2776,277.6,11.138916015625
L + CS-CTZ,CTZ-5,Before,5,2878,0.2878,287.8,10.80322265625
L + CS-CTZ,CTZ-5,Before,5,2984,0.2984,298.4,10.162353515625
L + CS-CTZ,CTZ-5,Before,5,3094,0.3094,309.40000000000003,10.589599609375
L + CS-CTZ,CTZ-5,Before,5,3194,0.3194,319.40000000000003,10.101318359375
L + CS-CTZ,CTZ-5,Before,5,3298,0.32980000000000004,329.8,11.29150390625
L + CS-CTZ,CTZ-5,Before,5,3408,0.3408,340.8,9.94873046875
L + CS-CTZ,CTZ-5,Before,5,3508,0.3508,350.8,9.490966796875
L + CS-CTZ,CTZ-5,Before,5,3607,0.3607,360.70000000000005,10.772705078125
L + CS-CTZ,CTZ-5,Before,5,3713,0.3713,371.3,10.894775390625
L + CS-CTZ,CTZ-5,Before,5,3818,0.38180000000000003,381.8,10.31494140625
L + CS-CTZ,CTZ-5,Before,5,3923,0.39230000000000004,392.3,9.33837890625
L + CS-CTZ,CTZ-5,Before,5,4030,0.403,403.0,9.94873046875
L + CS-CTZ,CTZ-5,Before,5,4134,0.41340000000000005,413.40000000000003,9.82666015625
L + CS-CTZ,CTZ-5,Before,5,4241,0.42410000000000003,424.1,9.765625
L + CS-CTZ,CTZ-5,Before,5,4355,0.4355,435.5,10.009765625
L + CS-CTZ,CTZ-5,Before,5,4457,0.44570000000000004,445.70000000000005,9.82666015625
L + CS-CTZ,CTZ-5,Before,5,4567,0.4567,456.7,9.521484375
L + CS-CTZ,CTZ-5,Before,5,4671,0.4671,467.1,9.552001953125
L + CS-CTZ,CTZ-5,Before,5,4777,0.4777,477.7,9.368896484375
L + CS-CTZ,CTZ-5,Before,5,4886,0.48860000000000003,488.6,10.43701171875
L + CS-CTZ,CTZ-5,Before,5,4997,0.49970000000000003,499.70000000000005,10.31494140625
L + CS-CTZ,CTZ-5,Before,5,5109,0.5109,510.90000000000003,9.613037109375
L + CS-CTZ,CTZ-5,Before,5,5213,0.5213,521.3,9.490966796875
L + CS-CTZ,CTZ-5,Before,5,5315,0.5315,531.5,8.697509765625
L + CS-CTZ,CTZ-5,Before,5,5412,0.5412,541.2,9.185791015625
L + CS-CTZ,CTZ-5,Before,5,5517,0.5517000000000001,551.7,9.613037109375
L + CS-CTZ,CTZ-5,Before,5,5625,0.5625,562.5,9.185791015625
L + CS-CTZ,CTZ-5,Before,5,5727,0.5727,572.6999999999999,8.392333984375
L + CS-CTZ,CTZ-5,Before,5,5831,0.5831000000000001,583.1,8.7890625
L + CS-CTZ,CTZ-5,Before,5,5930,0.5930000000000001,593.0000000000001,8.7890625
L + CS-CTZ,CTZ-5,Before,5,6036,0.6036,603.6,8.819580078125
L + CS-CTZ,CTZ-5,Before,5,6140,0.614,614.0,9.27734375
L + CS-CTZ,CTZ-5,Before,5,6250,0.625,625.0,9.307861328125
L + CS-CTZ,CTZ-5,Before,5,6352,0.6352,635.1999999999999,8.4228515625
L + CS-CTZ,CTZ-5,Before,5,6460,0.646,646.0,8.331298828125
L + CS-CTZ,CTZ-5,Before,5,6571,0.6571,657.1,7.75146484375
L + CS-CTZ,CTZ-5,Before,5,6679,0.6679,667.9000000000001,8.026123046875
L + CS-CTZ,CTZ-5,Before,5,6786,0.6786,678.6,8.148193359375
L + CS-CTZ,CTZ-5,Before,5,6893,0.6893,689.3000000000001,8.1787109375
L + CS-CTZ,CTZ-5,Before,5,6994,0.6994,699.4,7.38525390625
L + CS-CTZ,CTZ-5,Before,5,7105,0.7105,710.5,9.002685546875
L + CS-CTZ,CTZ-5,Before,5,7219,0.7219,721.9,7.537841796875
L + CS-CTZ,CTZ-5,Before,5,7330,0.733,733.0,7.904052734375
L + CS-CTZ,CTZ-5,Before,5,7437,0.7437,743.7,6.89697265625
L + CS-CTZ,CTZ-5,Before,5,7548,0.7548,754.8000000000001,6.8359375
L + CS-CTZ,CTZ-5,Before,5,7660,0.766,766.0,7.38525390625
L + CS-CTZ,CTZ-5,Before,5,7766,0.7766000000000001,776.6,7.965087890625
L + CS-CTZ,CTZ-5,Before,5,7877,0.7877000000000001,787.7,8.453369140625
L + CS-CTZ,CTZ-5,Before,5,7983,0.7983,798.3,7.2021484375
L + CS-CTZ,CTZ-5,Before,5,8089,0.8089000000000001,808.9000000000001,7.598876953125
L + CS-CTZ,CTZ-5,Before,5,8201,0.8201,820.1,7.232666015625
L + CS-CTZ,CTZ-5,Before,5,8311,0.8311000000000001,831.1,7.01904296875
L + CS-CTZ,CTZ-5,Before,5,8430,0.8430000000000001,843.0000000000001,6.195068359375
L + CS-CTZ,CTZ-5,Before,5,8537,0.8537,853.7,7.99560546875
L + CS-CTZ,CTZ-5,Before,5,8648,0.8648,864.8000000000001,7.87353515625
L + CS-CTZ,CTZ-5,Before,5,8758,0.8758,875.8000000000001,8.7890625
L + CS-CTZ,CTZ-5,Before,5,8877,0.8877,887.7,8.514404296875
L + CS-CTZ,CTZ-5,Before,5,8992,0.8992,899.2,7.781982421875
L + CS-CTZ,CTZ-5,Before,5,9098,0.9098,909.8000000000001,7.75146484375
L + CS-CTZ,CTZ-5,Before,5,9209,0.9209,920.9000000000001,6.8359375
L + CS-CTZ,CTZ-5,Before,5,9313,0.9313,931.3000000000001,7.99560546875
L + CS-CTZ,CTZ-5,Before,5,9426,0.9426,942.6,8.026123046875
L + CS-CTZ,CTZ-5,Before,5,9534,0.9534,953.4,7.99560546875
