Group,Recording_ID,Label,Sweep_Number,Peak_Index,Peak_Time_s,Peak_Time_ms,Peak_Voltage_mV
L + CS-Veh,Veh-14,Before,4,1287,0.1287,128.70000000000002,35.064697265625
L + CS-Veh,Veh-14,Before,4,1425,0.14250000000000002,142.50000000000003,34.698486328125
L + CS-Veh,Veh-14,Before,4,1704,0.1704,170.4,33.63037109375
L + CS-Veh,Veh-14,Before,5,1268,0.1268,126.8,32.5927734375
L + CS-Veh,Veh-14,Before,5,1334,0.13340000000000002,133.4,31.646728515625
L + CS-Veh,Veh-14,Before,5,1460,0.14600000000000002,146.00000000000003,32.40966796875
L + CS-Veh,Veh-14,Before,5,1640,0.164,164.0,32.470703125
L + CS-Veh,Veh-14,Before,5,1856,0.18560000000000001,185.60000000000002,33.02001953125
L + CS-Veh,Veh-14,Before,5,2095,0.20950000000000002,209.50000000000003,32.073974609375
L + CS-Veh,Veh-14,Before,5,2341,0.2341,234.1,31.92138671875
L + CS-Veh,Veh-14,Before,5,2589,0.2589,258.90000000000003,32.073974609375
L + CS-Veh,Veh-14,Before,5,2850,0.28500000000000003,285.00000000000006,31.402587890625
L + CS-Veh,Veh-14,Before,5,3124,0.3124,312.40000000000003,30.33447265625
L + CS-Veh,Veh-14,Before,5,9136,0.9136000000000001,913.6,32.440185546875
L + CS-Veh,Veh-14,Before,5,9467,0.9467000000000001,946.7,31.1279296875
L + CS-Veh,Veh-14,Before,6,1258,0.1258,125.8,33.660888671875
L + CS-Veh,Veh-14,Before,6,1307,0.1307,130.70000000000002,28.411865234375
L + CS-Veh,Veh-14,Before,6,1388,0.1388,138.8,30.517578125
L + CS-Veh,Veh-14,Before,6,1505,0.1505,150.5,31.43310546875
L + CS-Veh,Veh-14,Before,6,1640,0.164,164.0,30.364990234375
L + CS-Veh,Veh-14,Before,6,1795,0.17950000000000002,179.50000000000003,30.975341796875
L + CS-Veh,Veh-14,Before,6,1968,0.1968,196.8,30.242919921875
L + CS-Veh,Veh-14,Before,6,2140,0.21400000000000002,214.00000000000003,30.8837890625
L + CS-Veh,Veh-14,Before,6,2316,0.2316,231.6,30.914306640625
L + CS-Veh,Veh-14,Before,6,2487,0.2487,248.70000000000002,30.731201171875
L + CS-Veh,Veh-14,Before,6,2684,0.2684,268.40000000000003,30.364990234375
L + CS-Veh,Veh-14,Before,6,2874,0.2874,287.4,30.242919921875
L + CS-Veh,Veh-14,Before,6,3066,0.30660000000000004,306.6,29.96826171875
L + CS-Veh,Veh-14,Before,6,3261,0.3261,326.1,29.9072265625
L + CS-Veh,Veh-14,Before,6,3485,0.34850000000000003,348.50000000000006,29.78515625
L + CS-Veh,Veh-14,Before,6,3705,0.3705,370.5,29.6630859375
L + CS-Veh,Veh-14,Before,6,3911,0.3911,391.1,28.961181640625
L + CS-Veh,Veh-14,Before,6,4139,0.41390000000000005,413.90000000000003,28.99169921875
L + CS-Veh,Veh-14,Before,6,4364,0.4364,436.40000000000003,28.62548828125
L + CS-Veh,Veh-14,Before,6,4611,0.4611,461.1,28.80859375
L + CS-Veh,Veh-14,Before,6,4865,0.48650000000000004,486.50000000000006,28.3203125
L + CS-Veh,Veh-14,Before,6,5131,0.5131,513.1,29.083251953125
L + CS-Veh,Veh-14,Before,6,5420,0.542,542.0,28.900146484375
L + CS-Veh,Veh-14,Before,6,5744,0.5744,574.4,28.01513671875
L + CS-Veh,Veh-14,Before,6,6028,0.6028,602.8,28.74755859375
L + CS-Veh,Veh-14,Before,6,6274,0.6274000000000001,627.4000000000001,28.533935546875
L + CS-Veh,Veh-14,Before,6,6525,0.6525000000000001,652.5000000000001,28.9306640625
L + CS-Veh,Veh-14,Before,6,6819,0.6819000000000001,681.9000000000001,28.6865234375
