Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + CS-Veh,Veh-2,Before,0,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",0,[],[]
L + CS-Veh,Veh-2,Before,1,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",0,[],[]
L + CS-Veh,Veh-2,Before,2,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",0,[],[]
L + CS-Veh,Veh-2,Before,3,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",0,[],[]
L + CS-Veh,Veh-2,Before,4,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",0,[],[]
L + CS-Veh,Veh-2,Before,5,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",1,[1305],[0.1305]
L + CS-Veh,Veh-2,Before,6,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",1,[1275],[0.1275]
L + CS-Veh,Veh-2,Before,7,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",1,[1265],[0.1265]
L + CS-Veh,Veh-2,Before,8,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",1,[1265],[0.1265]
L + CS-Veh,Veh-2,Before,9,"[[-0.03823655913978499, -12.559000651041664], [1.1943942652329749, -6.932915581597221]]",2,"[1257, 1384]","[0.1257, 0.1384]"
L + CS-Veh,Veh-2,After,0,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",0,[],[]
L + CS-Veh,Veh-2,After,1,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",0,[],[]
L + CS-Veh,Veh-2,After,2,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",0,[],[]
L + CS-Veh,Veh-2,After,3,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",0,[],[]
L + CS-Veh,Veh-2,After,4,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",0,[],[]
L + CS-Veh,Veh-2,After,5,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",1,[1310],[0.131]
L + CS-Veh,Veh-2,After,6,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",2,"[1272, 1478]","[0.1272, 0.14780000000000001]"
L + CS-Veh,Veh-2,After,7,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",2,"[1263, 1429]","[0.1263, 0.1429]"
L + CS-Veh,Veh-2,After,8,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",2,"[1261, 1408]","[0.12610000000000002, 0.1408]"
L + CS-Veh,Veh-2,After,9,"[[0.002917669715936433, -0.715491885230648], [1.1913625421280694, -4.864429292224699]]",2,"[1256, 1366]","[0.12560000000000002, 0.1366]"
